sample,gps_start_heading,gps_start_x_position,gps_start_y_position,inertial_start_heading,inertial_start_rotation,distance_limit_forward,distance_limit_reverse,distance_estimate,left_direction,right_direction,volts,duration_ms,gps_stop_heading,gps_stop_x_position,gps_stop_y_position,inertial_stop_heading,inertial_stop_rotation,gps_cooldown_heading,gps_cooldown_x_position,gps_cooldown_y_position,inertial_cooldown_heading,inertial_cooldown_rotation,gps_final_heading,gps_final_x_position,gps_final_y_position,inertial_final_heading,inertial_final_rotation,gps_stop_angle,gps_cooldown_angle,gps_final_angle,inertial_stop_angle,inertial_cooldown_angle,inertial_final_angle,inertial_stop_travel,inertial_cooldown_travel,inertial_final_travel,gps_stop_distance,gps_cooldown_distance,gps_final_distance
0,233.8985,-552.2658,823.1386,233.8985,-0.04528562,1544.273,1657.898,262.75,0.0,1.0,0.7,1550.0,233.3133,-553.3857,836.9019,233.8989,-0.04495811,233.3068,-540.8502,841.2316,233.8991,-0.04475804,233.2463,-538.4374,853.1347,233.8977,-0.04617447,-0.5852,-0.5917,-0.6522,0.0004,0.0006,-0.0008,0.0003,0.0005,-0.0009,13.8088,21.3933,33.0301
1,233.2649,-538.7681,856.3333,233.2649,-0.04569196,1573.769,1577.729,112.0,0.0,0.0,0.4,200.0,233.3158,-536.708,848.5582,233.2653,-0.04526377,233.2814,-536.0152,856.7862,233.2645,-0.04598654,233.2992,-535.5587,853.6368,233.2652,-0.0453327,0.0509,0.0165,0.0343,0.0004,-0.0004,0.0003,0.0004,-0.0003,0.0004,8.0434,2.7899,4.1918
2,233.2921,-534.2817,859.0468,233.2921,-0.04548303,1578.807,1574.194,720.9999,0.0,1.0,1.8,2300.0,328.1164,-383.6144,1110.213,327.2107,93.87313,333.9858,-473.7985,876.1148,332.0288,98.69126,334.0723,-470.3717,852.9296,332.0293,98.69182,94.8243,100.6937,100.7802,93.9186,98.7367,98.7372,93.9186,98.7367,98.7373,292.8909,62.8453,64.2021
3,334.0797,-469.759,846.3907,334.0797,98.69071,1060.269,2942.385,1376.5,1.0,1.0,3.7,2300.0,337.586,-162.7383,134.1529,337.7356,102.3466,338.5678,-146.1806,82.36372,338.7514,103.3624,338.5713,-149.9038,84.54574,338.7524,103.3634,3.5063,4.4881,4.4916,3.6559,4.6717,4.6727,3.6559,4.6717,4.6727,775.5929,829.723,826.2658
4,338.5738,-148.7971,83.41636,338.5738,103.3621,1844.026,2023.244,340.0,0.0,1.0,1.0,1600.0,352.8375,-162.6668,22.74499,352.1039,116.8921,353.1137,-164.7033,19.65736,352.4581,117.2464,353.121,-166.9639,18.63204,352.4575,117.2458,14.2637,14.5399,14.5472,13.5301,13.8843,13.8837,13.53,13.8843,13.8837,62.2365,65.7131,67.2833
5,353.1247,-168.3981,18.70774,353.1247,117.2459,1794.194,1831.881,172.0,0.0,1.0,1.2,400.0,358.8958,-167.7483,4.790686,359.3003,123.4215,0.5409629,-178.574,-2.346816,0.4087492,124.53,0.6214087,-178.383,-5.638945,0.4084685,124.5297,5.7711,7.4163,7.4967,6.1756,7.284,7.2838,6.1756,7.2841,7.2838,13.9322,23.3847,26.3146
6,0.6376562,-180.222,-3.637015,0.6376562,124.5303,1803.749,1619.878,755.4999,0.0,0.0,3.8,1150.0,1.71951,-172.0525,369.3376,1.67552,125.5682,0.8132545,-172.3512,430.7333,0.775171,124.6678,0.8315102,-172.4153,430.8804,0.7749469,124.6676,1.0819,0.1756,0.1939,1.0379,0.1375,0.1373,1.0379,0.1375,0.1373,373.0641,434.4416,434.5875
7,0.8197181,-171.934,429.2881,0.8197181,124.6679,1370.852,1628.233,698.4999,1.0,1.0,5.7,700.0,1.294281,-180.2624,66.14229,1.256293,125.1045,4.473308,-192.6921,-56.73856,4.362784,128.211,4.435406,-190.1125,-61.94525,4.362642,128.2108,0.4746,3.6536,3.6157,0.4366,3.5431,3.5429,0.4366,3.5431,3.5429,363.2413,486.4697,491.5696
8,4.437605,-190.8675,-61.66916,4.437605,128.2107,1867.267,1613.971,3562.75,0.0,1.0,8.1,2850.0,203.8864,-377.0577,-372.4141,196.9168,1040.69,286.2946,-235.1633,-28.64373,273.45,1117.223,287.4059,-237.9989,-18.97181,273.4497,1117.223,-160.5512,-78.143,-77.0317,-167.5208,-90.9876,-90.9879,912.4793,989.0123,989.0123,362.2557,55.2521,63.5959
9,287.4623,-237.511,-16.07089,287.4623,1117.223,1637.977,1870.115,2842.75,0.0,1.0,6.9,2650.0,287.5984,-217.7445,73.09036,281.3644,1831.125,348.6709,-176.8372,-24.46691,339.0441,1888.805,349.2566,-190.8681,-28.82593,339.0454,1888.806,0.1361,61.2086,61.7943,-6.0979,51.5818,51.5831,713.902,771.582,771.583,91.326,61.252,48.3555
